TransactionID,Amount,TransactionType,AccountAge,CustomerLocation,DeviceType,TimeOfTransaction,DayOfWeek,TransactionSpeed,NumberOfLogins,CardType,MerchantCategory,Country,IsWeekend,Fraud
1,1873.33,ATM,52,Suburban,Desktop,18,Monday,45.83034924500626,4,Prepaid,Entertainment,UK,0,0
2,4753.62,BankTransfer,4,Rural,Tablet,0,Friday,42.85111532623202,5,Debit,Clothing,Canada,0,0
3,3660.24,ATM,34,Urban,Tablet,16,Thursday,39.78518223198387,7,Credit,Entertainment,Australia,0,0
4,2993.69,BankTransfer,69,Urban,Desktop,9,Wednesday,0.47650419752861306,6,Prepaid,Electronics,Australia,0,0
5,780.94,BankTransfer,33,Suburban,Desktop,5,Tuesday,8.614384471485327,2,Debit,Others,Germany,0,0
6,780.82,ATM,69,Suburban,Desktop,6,Friday,13.4755231912138,7,Debit,Entertainment,Australia,0,0
7,291.36,POS,38,Suburban,Mobile,5,Tuesday,16.39015517772709,8,Prepaid,Electronics,Germany,1,0
8,4331.01,BankTransfer,98,Urban,Mobile,4,Monday,8.87094984476911,1,Prepaid,Clothing,Australia,1,0
9,3005.97,ATM,26,Urban,Tablet,1,Wednesday,24.67790153328599,6,Credit,Others,USA,0,0
10,3540.65,Online,1,Suburban,Tablet,17,Friday,4.6033170423401515,9,Prepaid,Others,Canada,1,0
11,103.9,ATM,4,Urban,Desktop,23,Sunday,45.02632920422806,7,Prepaid,Others,UK,0,0
12,4849.58,Online,39,Rural,Tablet,16,Tuesday,47.28447515903669,5,Debit,Groceries,Canada,1,0
13,4162.38,BankTransfer,54,Suburban,Tablet,23,Sunday,34.498574707093795,9,Prepaid,Electronics,Canada,0,0
14,1062.48,ATM,90,Suburban,Desktop,22,Saturday,5.4733221348138725,2,Prepaid,Entertainment,Germany,1,0
15,909.94,ATM,33,Rural,Mobile,6,Sunday,53.41598185585081,7,Prepaid,Clothing,Germany,0,0
16,917.84,Online,33,Rural,Mobile,20,Friday,57.94158613961606,9,Debit,Others,USA,1,0
17,1521.91,ATM,72,Urban,Mobile,18,Monday,12.221577263275183,2,Debit,Others,UK,0,0
18,2624.26,ATM,20,Rural,Tablet,6,Sunday,42.30792518449911,6,Debit,Others,Australia,0,0
19,2160.29,BankTransfer,16,Suburban,Desktop,22,Saturday,50.5321239754849,9,Debit,Electronics,Australia,1,0
20,1456.85,ATM,21,Urban,Mobile,6,Tuesday,32.436627000307865,3,Credit,Clothing,Canada,0,0
21,3059.65,POS,45,Rural,Tablet,15,Tuesday,19.46705366165226,8,Debit,Electronics,USA,0,0
22,698.33,Online,119,Urban,Desktop,11,Wednesday,28.765667033313125,5,Debit,Clothing,UK,0,0
23,1461.43,ATM,90,Urban,Mobile,14,Sunday,30.784898171988676,7,Credit,Entertainment,Australia,1,0
24,1832.44,Online,87,Urban,Mobile,14,Sunday,24.098158946862874,3,Credit,Groceries,Canada,1,0
25,2280.89,Online,82,Urban,Desktop,10,Wednesday,55.797565368659,8,Credit,Clothing,USA,1,0
26,3926.09,Online,62,Rural,Tablet,1,Tuesday,44.65859834545587,2,Prepaid,Electronics,UK,1,0
27,999.17,ATM,31,Suburban,Tablet,2,Saturday,14.553968371072342,8,Debit,Electronics,Canada,1,0
28,2571.66,ATM,116,Suburban,Mobile,18,Sunday,35.17487552046013,2,Prepaid,Electronics,Canada,0,0
29,2962.48,Online,42,Rural,Desktop,19,Wednesday,41.35248014077693,7,Credit,Groceries,USA,0,0
30,233.21,POS,12,Suburban,Tablet,14,Tuesday,8.495369659957603,2,Credit,Clothing,USA,1,0
31,3038.12,Online,65,Urban,Desktop,15,Saturday,21.569701968570914,7,Credit,Clothing,USA,1,0
32,853.45,POS,106,Urban,Desktop,0,Thursday,54.342342068074565,1,Credit,Clothing,USA,1,0
33,326.19,Online,73,Urban,Mobile,14,Friday,34.073668701093574,6,Prepaid,Clothing,UK,0,0
34,4744.48,BankTransfer,3,Rural,Desktop,11,Sunday,13.098164989012979,7,Credit,Others,USA,0,0
35,4828.19,Online,115,Urban,Desktop,6,Thursday,7.454809407337131,4,Debit,Others,USA,1,0
36,4042.18,Online,90,Urban,Desktop,6,Thursday,31.141790919145176,1,Debit,Electronics,USA,1,0
37,1523.76,ATM,9,Rural,Tablet,10,Friday,32.90637480944573,6,Debit,Others,UK,1,0
38,489.26,POS,106,Urban,Mobile,19,Tuesday,20.13142563614128,4,Prepaid,Clothing,Australia,0,0
39,3421.48,BankTransfer,51,Urban,Mobile,10,Tuesday,37.8619201023052,3,Credit,Clothing,Canada,1,0
40,2201.32,POS,16,Suburban,Desktop,16,Wednesday,4.214212704541384,4,Prepaid,Others,Germany,1,0
41,611.07,BankTransfer,88,Rural,Desktop,2,Monday,8.793867626641823,6,Debit,Entertainment,Canada,0,0
42,2476.39,Online,114,Urban,Tablet,15,Tuesday,32.821801878574426,5,Credit,Electronics,UK,1,0
43,172.91,ATM,78,Urban,Mobile,4,Friday,3.802760061282792,2,Prepaid,Groceries,USA,1,0
44,4546.69,ATM,3,Urban,Tablet,1,Monday,52.866435022966925,2,Credit,Electronics,UK,1,0
